Genotype;Treatment;Experiment;Seedling;Zone;Nr_Puncta
lrx;Ctrl;2;2;2;0
lrx;Ctrl;2;2;3;0
lrx;Ctrl;2;3;1;1
lrx;Ctrl;2;3;2;0
lrx;Ctrl;2;3;3;0
lrx;Ctrl;2;4;1;0
lrx;Ctrl;2;4;2;0
lrx;Ctrl;2;4;3;0
lrx;Ctrl;2;5;1;0
lrx;Ctrl;2;5;2;2
lrx;Ctrl;2;5;3;0
lrx;RALF23;2;1;1;2
lrx;RALF23;2;1;2;20
lrx;RALF23;2;1;3;1
lrx;RALF23;2;2;1;6
lrx;RALF23;2;2;2;28
lrx;RALF23;2;2;3;9
lrx;RALF23;2;3;1;6
;;;;;
lrx;RALF23;2;3;3;8
lrx;RALF23;2;4;1;2
lrx;RALF23;2;4;2;27
lrx;RALF23;2;4;3;11
lrx;RALF23;2;5;1;4
lrx;RALF23;2;5;2;28
lrx;RALF23;2;5;3;13
ferlrx;Ctrl;2;1;1;1
ferlrx;Ctrl;2;1;2;0
ferlrx;Ctrl;2;1;3;1
ferlrx;Ctrl;2;2;1;0
ferlrx;Ctrl;2;2;2;0
ferlrx;Ctrl;2;2;3;0
ferlrx;Ctrl;2;3;1;0
ferlrx;Ctrl;2;3;2;1
ferlrx;Ctrl;2;3;3;0
ferlrx;Ctrl;2;4;1;0
ferlrx;Ctrl;2;4;2;1
ferlrx;Ctrl;2;4;3;0
ferlrx;RALF23;2;1;1;0
ferlrx;RALF23;2;1;2;0
ferlrx;RALF23;2;1;3;0
ferlrx;RALF23;2;2;1;0
ferlrx;RALF23;2;2;2;0
ferlrx;RALF23;2;2;3;0
ferlrx;RALF23;2;3;1;0
ferlrx;RALF23;2;3;2;1
ferlrx;RALF23;2;3;3;0
ferlrx;RALF23;2;4;1;0
ferlrx;RALF23;2;4;2;0
ferlrx;RALF23;2;4;3;0
ferlrx;RALF23;2;5;1;0
ferlrx;RALF23;2;5;2;0
ferlrx;RALF23;2;5;3;0
